,ghcr.io/converged-computing/ensemble-stream:spack,ghcr.io/converged-computing/ensemble-quicksilver:spack,ghcr.io/converged-computing/ensemble-osu:spack,ghcr.io/converged-computing/ensemble-amg2023:spack,ghcr.io/converged-computing/ensemble-minife:spack,ghcr.io/converged-computing/ensemble-lammps:spack,ghcr.io/converged-computing/ensemble-laghos:spack
ghcr.io/converged-computing/ensemble-stream:spack,1,1.0,1.0,1.0,1.0,1.0,1.0
ghcr.io/converged-computing/ensemble-quicksilver:spack,1.0,1,1.0,1.0,1.0,1.0,1.0
ghcr.io/converged-computing/ensemble-osu:spack,1.0,1.0,1,1.0,1.0,1.0,1.0
ghcr.io/converged-computing/ensemble-amg2023:spack,1.0,1.0,1.0,1,1.0,1.0,1.0
ghcr.io/converged-computing/ensemble-minife:spack,1.0,1.0,1.0,1.0,1,1.0,1.0
ghcr.io/converged-computing/ensemble-lammps:spack,1.0,1.0,1.0,1.0,1.0,1,1.0
ghcr.io/converged-computing/ensemble-laghos:spack,1.0,1.0,1.0,1.0,1.0,1.0,1
