,uri,full_uri,layer_size,platform,arch,digest,os,schema_version
0,ghcr.io/converged-computing/ensemble-stream,ghcr.io/converged-computing/ensemble-stream:spack,30439933,{},unknown,sha256:7478e0ac0f23f94b2f27848fbcdf804a670fbf8d4bab26df842d40a10cd33059,unknown,2
1,ghcr.io/converged-computing/ensemble-stream,ghcr.io/converged-computing/ensemble-stream:spack,160943070,{},unknown,sha256:2e90f8744c5823feef8f7b2122fb4e2bebd50a7bafabd6eb4867a6a0bf778373,unknown,2
2,ghcr.io/converged-computing/ensemble-stream,ghcr.io/converged-computing/ensemble-stream:spack,48174576,{},unknown,sha256:ab3911fde9c23cfe6cc3456b5ea89ac29a96c5e7fe2efb25f04d1bad871ff38b,unknown,2
3,ghcr.io/converged-computing/ensemble-stream,ghcr.io/converged-computing/ensemble-stream:spack,228891,{},unknown,sha256:ad130c7601860674b3437f4f0410f4c2e3391ce0b81b407bfe6bf92c8700a453,unknown,2
4,ghcr.io/converged-computing/ensemble-stream,ghcr.io/converged-computing/ensemble-stream:spack,451,{},unknown,sha256:8c6e4dcf7865b61129d13adde9a5e33897ffdf405494b2ec025401e92769821d,unknown,2
5,ghcr.io/converged-computing/ensemble-stream,ghcr.io/converged-computing/ensemble-stream:spack,38707664,{},unknown,sha256:03beb599e1504943c9f2d523708a0b155a4113c96b0b12ec637d3fb3cb05d861,unknown,2
6,ghcr.io/converged-computing/ensemble-stream,ghcr.io/converged-computing/ensemble-stream:spack,22349775,{},unknown,sha256:575205571df394fc58e7a1fab46c97e8c0561a44739ee10433481f85ac7d4387,unknown,2
7,ghcr.io/converged-computing/ensemble-stream,ghcr.io/converged-computing/ensemble-stream:spack,3738627,{},unknown,sha256:33f4f3e4b0e43881dfe81ead9c720d3f9ff16d79517c0f0c9964435fb13564a8,unknown,2
8,ghcr.io/converged-computing/ensemble-quicksilver,ghcr.io/converged-computing/ensemble-quicksilver:spack,30439933,{},unknown,sha256:7478e0ac0f23f94b2f27848fbcdf804a670fbf8d4bab26df842d40a10cd33059,unknown,2
9,ghcr.io/converged-computing/ensemble-quicksilver,ghcr.io/converged-computing/ensemble-quicksilver:spack,161070783,{},unknown,sha256:0466b21a3cce5997a63362654fa9e2f9d888f3e325ebe4d253f4ee43876a59c2,unknown,2
10,ghcr.io/converged-computing/ensemble-quicksilver,ghcr.io/converged-computing/ensemble-quicksilver:spack,48560529,{},unknown,sha256:ea94f1100e041f35cc6c0e2e1bc9f39fb426bb8d762fad97b0d86c0527493a01,unknown,2
11,ghcr.io/converged-computing/ensemble-quicksilver,ghcr.io/converged-computing/ensemble-quicksilver:spack,235015,{},unknown,sha256:99858b1fa8bedb797f2e6e100228b083fac44c907544a3905c1410d9de2f6c39,unknown,2
12,ghcr.io/converged-computing/ensemble-quicksilver,ghcr.io/converged-computing/ensemble-quicksilver:spack,450,{},unknown,sha256:916606de60a3ac54c35d8f5fc628809e66b49d03fb3901eb419be80e23622639,unknown,2
13,ghcr.io/converged-computing/ensemble-quicksilver,ghcr.io/converged-computing/ensemble-quicksilver:spack,38707652,{},unknown,sha256:0b10e284e30968229814782dc2584fde12a71995fe804ab7961feac3063f775b,unknown,2
14,ghcr.io/converged-computing/ensemble-quicksilver,ghcr.io/converged-computing/ensemble-quicksilver:spack,22349453,{},unknown,sha256:53787e4057a35d2908b2829e511b81a98b2f1abf8d8817a8aa62a8ea57d57ef5,unknown,2
15,ghcr.io/converged-computing/ensemble-quicksilver,ghcr.io/converged-computing/ensemble-quicksilver:spack,3738630,{},unknown,sha256:ae39d640cc50fbe689e57aee334a5de6e80a328b66dfbc063bf6cf6d94d5a045,unknown,2
16,ghcr.io/converged-computing/ensemble-osu,ghcr.io/converged-computing/ensemble-osu:spack,30439933,{},unknown,sha256:7478e0ac0f23f94b2f27848fbcdf804a670fbf8d4bab26df842d40a10cd33059,unknown,2
