,ghcr.io/converged-computing/metric-minife:cpu-zen4,ghcr.io/converged-computing/metric-quicksilver-cpu:zen4,ghcr.io/converged-computing/metric-osu-cpu:zen4,ghcr.io/converged-computing/metric-amg2023:spack-slim,ghcr.io/converged-computing/mt-gemm:cpu-zen4,ghcr.io/converged-computing/metric-laghos:cpu-zen4,ghcr.io/converged-computing/metric-mixbench:cpu,ghcr.io/converged-computing/metric-kripke-cpu:zen4,ghcr.io/converged-computing/metric-stream:cpu-zen4,ghcr.io/converged-computing/metric-lammps-cpu:zen4
ghcr.io/converged-computing/metric-minife:cpu-zen4,1,0.8,0.8378378378378378,0.04807692307692308,0.775,0.8,0.7948717948717948,0.7948717948717948,0.8421052631578947,0.8157894736842105
ghcr.io/converged-computing/metric-quicksilver-cpu:zen4,0.8,1,0.7948717948717948,0.04716981132075472,0.7380952380952381,0.7619047619047619,0.7560975609756098,0.7560975609756098,0.8,0.775
ghcr.io/converged-computing/metric-osu-cpu:zen4,0.8378378378378378,0.7948717948717948,1,0.049019607843137254,0.7692307692307693,0.7948717948717948,0.7894736842105263,0.7894736842105263,0.8378378378378378,0.8611111111111112
ghcr.io/converged-computing/metric-amg2023:spack-slim,0.04807692307692308,0.04716981132075472,0.049019607843137254,1,0.047619047619047616,0.04716981132075472,0.04807692307692308,0.04807692307692308,0.04807692307692308,0.04854368932038835
ghcr.io/converged-computing/mt-gemm:cpu-zen4,0.775,0.7380952380952381,0.7692307692307693,0.047619047619047616,1,0.7380952380952381,0.775,0.7317073170731707,0.775,0.75
ghcr.io/converged-computing/metric-laghos:cpu-zen4,0.8,0.7619047619047619,0.7948717948717948,0.04716981132075472,0.7380952380952381,1,0.7560975609756098,0.7560975609756098,0.8,0.775
ghcr.io/converged-computing/metric-mixbench:cpu,0.7948717948717948,0.7560975609756098,0.7894736842105263,0.04807692307692308,0.775,0.7560975609756098,1,0.75,0.7948717948717948,0.7692307692307693
ghcr.io/converged-computing/metric-kripke-cpu:zen4,0.7948717948717948,0.7560975609756098,0.7894736842105263,0.04807692307692308,0.7317073170731707,0.7560975609756098,0.75,1,0.7948717948717948,0.7692307692307693
ghcr.io/converged-computing/metric-stream:cpu-zen4,0.8421052631578947,0.8,0.8378378378378378,0.04807692307692308,0.775,0.8,0.7948717948717948,0.7948717948717948,1,0.8157894736842105
ghcr.io/converged-computing/metric-lammps-cpu:zen4,0.8157894736842105,0.775,0.8611111111111112,0.04854368932038835,0.75,0.775,0.7692307692307693,0.7692307692307693,0.8157894736842105,1
