,ghcr.io/converged-computing/metric-minife:cpu-zen4,ghcr.io/converged-computing/metric-quicksilver-cpu:zen4,ghcr.io/converged-computing/metric-osu-cpu:zen4,ghcr.io/converged-computing/metric-amg2023:spack-slim,ghcr.io/converged-computing/mt-gemm:cpu-zen4,ghcr.io/converged-computing/metric-laghos:cpu-zen4,ghcr.io/converged-computing/metric-mixbench:cpu,ghcr.io/converged-computing/metric-kripke-cpu:zen4,ghcr.io/converged-computing/metric-stream:cpu-zen4,ghcr.io/converged-computing/metric-lammps-cpu:zen4
ghcr.io/converged-computing/metric-minife:cpu-zen4,1,0.7407407407407407,0.7692307692307693,0.0,0.021739130434782608,0.7142857142857143,0.022222222222222223,0.6785714285714286,0.7407407407407407,0.7407407407407407
ghcr.io/converged-computing/metric-quicksilver-cpu:zen4,0.7407407407407407,1,0.7407407407407407,0.0,0.02127659574468085,0.6896551724137931,0.021739130434782608,0.6551724137931034,0.7142857142857143,0.7142857142857143
ghcr.io/converged-computing/metric-osu-cpu:zen4,0.7692307692307693,0.7407407407407407,1,0.0,0.021739130434782608,0.7142857142857143,0.022222222222222223,0.6785714285714286,0.7407407407407407,0.7407407407407407
ghcr.io/converged-computing/metric-amg2023:spack-slim,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
ghcr.io/converged-computing/mt-gemm:cpu-zen4,0.021739130434782608,0.02127659574468085,0.021739130434782608,0.0,1,0.020833333333333332,0.021739130434782608,0.02127659574468085,0.02127659574468085,0.02127659574468085
ghcr.io/converged-computing/metric-laghos:cpu-zen4,0.7142857142857143,0.6896551724137931,0.7142857142857143,0.0,0.020833333333333332,1,0.02127659574468085,0.6333333333333333,0.6896551724137931,0.6896551724137931
ghcr.io/converged-computing/metric-mixbench:cpu,0.022222222222222223,0.021739130434782608,0.022222222222222223,0.0,0.021739130434782608,0.02127659574468085,1,0.021739130434782608,0.021739130434782608,0.021739130434782608
ghcr.io/converged-computing/metric-kripke-cpu:zen4,0.6785714285714286,0.6551724137931034,0.6785714285714286,0.0,0.02127659574468085,0.6333333333333333,0.021739130434782608,1,0.6551724137931034,0.6551724137931034
ghcr.io/converged-computing/metric-stream:cpu-zen4,0.7407407407407407,0.7142857142857143,0.7407407407407407,0.0,0.02127659574468085,0.6896551724137931,0.021739130434782608,0.6551724137931034,1,0.7142857142857143
ghcr.io/converged-computing/metric-lammps-cpu:zen4,0.7407407407407407,0.7142857142857143,0.7407407407407407,0.0,0.02127659574468085,0.6896551724137931,0.021739130434782608,0.6551724137931034,0.7142857142857143,1
