,ghcr.io/converged-computing/ensemble-kripke:latest,ghcr.io/converged-computing/ensemble-mt-gemm:latest,ghcr.io/converged-computing/ensemble-stream:latest,ghcr.io/converged-computing/ensemble-quicksilver:latest,ghcr.io/converged-computing/ensemble-osu:latest,ghcr.io/converged-computing/ensemble-amg2023:latest,ghcr.io/converged-computing/ensemble-minife:latest,ghcr.io/converged-computing/ensemble-mixbench:latest,ghcr.io/converged-computing/ensemble-lammps:latest,ghcr.io/converged-computing/ensemble-laghos:latest
ghcr.io/converged-computing/ensemble-kripke:latest,1,0.6923076923076923,0.72,0.6666666666666666,0.782608695652174,0.75,0.72,0.75,0.72,0.6428571428571429
ghcr.io/converged-computing/ensemble-mt-gemm:latest,0.6923076923076923,1,0.72,0.6666666666666666,0.782608695652174,0.75,0.72,0.75,0.72,0.6428571428571429
ghcr.io/converged-computing/ensemble-stream:latest,0.72,0.72,1,0.6923076923076923,0.8181818181818182,0.782608695652174,0.75,0.782608695652174,0.75,0.6666666666666666
ghcr.io/converged-computing/ensemble-quicksilver:latest,0.6666666666666666,0.6666666666666666,0.6923076923076923,1,0.75,0.72,0.6923076923076923,0.72,0.6923076923076923,0.6206896551724138
ghcr.io/converged-computing/ensemble-osu:latest,0.782608695652174,0.782608695652174,0.8181818181818182,0.75,1,0.8571428571428571,0.8181818181818182,0.8571428571428571,0.8181818181818182,0.72
ghcr.io/converged-computing/ensemble-amg2023:latest,0.75,0.75,0.782608695652174,0.72,0.8571428571428571,1,0.782608695652174,0.8181818181818182,0.782608695652174,0.6923076923076923
ghcr.io/converged-computing/ensemble-minife:latest,0.72,0.72,0.75,0.6923076923076923,0.8181818181818182,0.782608695652174,1,0.782608695652174,0.75,0.6666666666666666
ghcr.io/converged-computing/ensemble-mixbench:latest,0.75,0.75,0.782608695652174,0.72,0.8571428571428571,0.8181818181818182,0.782608695652174,1,0.782608695652174,0.6923076923076923
ghcr.io/converged-computing/ensemble-lammps:latest,0.72,0.72,0.75,0.6923076923076923,0.8181818181818182,0.782608695652174,0.75,0.782608695652174,1,0.6666666666666666
ghcr.io/converged-computing/ensemble-laghos:latest,0.6428571428571429,0.6428571428571429,0.6666666666666666,0.6206896551724138,0.72,0.6923076923076923,0.6666666666666666,0.6923076923076923,0.6666666666666666,1
