,ghcr.io/converged-computing/ensemble-kripke:latest,ghcr.io/converged-computing/ensemble-mt-gemm:latest,ghcr.io/converged-computing/ensemble-stream:latest,ghcr.io/converged-computing/ensemble-quicksilver:latest,ghcr.io/converged-computing/ensemble-osu:latest,ghcr.io/converged-computing/ensemble-amg2023:latest,ghcr.io/converged-computing/ensemble-minife:latest,ghcr.io/converged-computing/ensemble-mixbench:latest,ghcr.io/converged-computing/ensemble-lammps:latest,ghcr.io/converged-computing/ensemble-laghos:latest
ghcr.io/converged-computing/ensemble-kripke:latest,1,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.6666666666666666,0.6153846153846154,0.6153846153846154,0.6666666666666666,0.5714285714285714,0.5333333333333333
ghcr.io/converged-computing/ensemble-mt-gemm:latest,0.5714285714285714,1,0.5714285714285714,0.5714285714285714,0.6666666666666666,0.6153846153846154,0.6153846153846154,0.6666666666666666,0.5714285714285714,0.5333333333333333
ghcr.io/converged-computing/ensemble-stream:latest,0.5714285714285714,0.5714285714285714,1,0.5714285714285714,0.6666666666666666,0.6153846153846154,0.6153846153846154,0.6666666666666666,0.5714285714285714,0.5333333333333333
ghcr.io/converged-computing/ensemble-quicksilver:latest,0.5714285714285714,0.5714285714285714,0.5714285714285714,1,0.6666666666666666,0.6153846153846154,0.6153846153846154,0.6666666666666666,0.5714285714285714,0.5333333333333333
ghcr.io/converged-computing/ensemble-osu:latest,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,1,0.7272727272727273,0.7272727272727273,0.8,0.6666666666666666,0.6153846153846154
ghcr.io/converged-computing/ensemble-amg2023:latest,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.7272727272727273,1,0.6666666666666666,0.7272727272727273,0.6153846153846154,0.5714285714285714
ghcr.io/converged-computing/ensemble-minife:latest,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.7272727272727273,0.6666666666666666,1,0.7272727272727273,0.6153846153846154,0.5714285714285714
ghcr.io/converged-computing/ensemble-mixbench:latest,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8,0.7272727272727273,0.7272727272727273,1,0.6666666666666666,0.6153846153846154
ghcr.io/converged-computing/ensemble-lammps:latest,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.6666666666666666,0.6153846153846154,0.6153846153846154,0.6666666666666666,1,0.5333333333333333
ghcr.io/converged-computing/ensemble-laghos:latest,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.6153846153846154,0.5714285714285714,0.5714285714285714,0.6153846153846154,0.5333333333333333,1
