,counts,cosine
0,23657.0,-0.5 to -0.4
1,1749815.0,-0.4 to -0.3
2,227718219.5,-0.3 to -0.2
3,6600296115.5,-0.2 to -0.1
4,45205700896.5,-0.1 to 0.0
5,74274076055.5,0.0 to 0.1
6,32441185751.5,0.1 to 0.2
7,6559598154.0,0.2 to 0.3
8,2078925693.0,0.3 to 0.4
9,1054815970.0,0.4 to 0.5
10,565084620.0,0.5 to 0.6
11,313054712.5,0.6 to 0.7
12,162684342.5,0.7 to 0.8
13,84916716.0,0.8 to 0.9
14,19687835.0,0.9 to 1.0
