,counts,cosine
0,26580.0,-0.5 to -0.4
1,10214756.0,-0.4 to -0.3
2,434408772.0,-0.3 to -0.2
3,4817538814.0,-0.2 to -0.1
4,14237460310.0,-0.1 to 0.0
5,12876001621.0,0.0 to 0.1
6,6396681060.0,0.1 to 0.2
7,4004250693.0,0.2 to 0.3
8,2690671058.0,0.3 to 0.4
9,1312054910.0,0.4 to 0.5
10,632519754.0,0.5 to 0.6
11,283613155.0,0.6 to 0.7
12,100464254.0,0.7 to 0.8
13,32083760.0,0.8 to 0.9
14,10451894.5,0.9 to 1.0
