,counts,cosine
0,6021.0,-0.5 to -0.4
1,52369.0,-0.4 to -0.3
2,2234893.0,-0.3 to -0.2
3,97720069.0,-0.2 to -0.1
4,743491101.0,-0.1 to 0.0
5,1021001023.0,0.0 to 0.1
6,539479840.0,0.1 to 0.2
7,247478870.0,0.2 to 0.3
8,121312259.0,0.3 to 0.4
9,89570875.0,0.4 to 0.5
10,67942953.0,0.5 to 0.6
11,42674298.0,0.6 to 0.7
12,20280721.0,0.7 to 0.8
13,5373667.0,0.8 to 0.9
14,538436.0,0.9 to 1.0
