,uri,full_uri,layer_size,platform,arch,digest,os,schema_version
0,ghcr.io/converged-computing/container-chonks-run1,ghcr.io/converged-computing/container-chonks-run1:125-layers-size-10902729561-bytes,2220027,{},unknown,sha256:19f2bd1a0b363264fc654f84fe54bda1202fcf0b1a9a6054fddb588f6ffb3a76,unknown,2
1,ghcr.io/converged-computing/container-chonks-run1,ghcr.io/converged-computing/container-chonks-run1:125-layers-size-10902729561-bytes,85581,{},unknown,sha256:a65c63d1ed692aafc17805eee3c5c1acae6ed2795a7946b5811d889441376d22,unknown,2
2,ghcr.io/converged-computing/container-chonks-run1,ghcr.io/converged-computing/container-chonks-run1:125-layers-size-10902729561-bytes,85582,{},unknown,sha256:3cbf6ab2703cf0cf12508b945084a6e124407bc517653b657546c32358b488dd,unknown,2
3,ghcr.io/converged-computing/container-chonks-run1,ghcr.io/converged-computing/container-chonks-run1:125-layers-size-10902729561-bytes,85582,{},unknown,sha256:926f01f321abac86c513518e613d3c5e09b2e19e2b2df32efecfe8725d117f59,unknown,2
4,ghcr.io/converged-computing/container-chonks-run1,ghcr.io/converged-computing/container-chonks-run1:125-layers-size-10902729561-bytes,85582,{},unknown,sha256:410c98fb9c4786f8f9d3c5d1d3d7e4af06ec510f98a4d03676ea9256a05bacc7,unknown,2
5,ghcr.io/converged-computing/container-chonks-run1,ghcr.io/converged-computing/container-chonks-run1:125-layers-size-10902729561-bytes,85581,{},unknown,sha256:908315668ac51621da8fcd6783d88585c36bd7d306f1ed55306f578eefd9f699,unknown,2
6,ghcr.io/converged-computing/container-chonks-run1,ghcr.io/converged-computing/container-chonks-run1:125-layers-size-10902729561-bytes,85582,{},unknown,sha256:5ab1720f7749361bd0660386f82d4c2c2dc8b5dc974c5d7cc1be263e2666400b,unknown,2
7,ghcr.io/converged-computing/container-chonks-run1,ghcr.io/converged-computing/container-chonks-run1:125-layers-size-10902729561-bytes,85581,{},unknown,sha256:1b113bcd498c39de5bb251f02e477c79b36507fb2ec4a0e43b0dc8da8102b8d2,unknown,2
8,ghcr.io/converged-computing/container-chonks-run1,ghcr.io/converged-computing/container-chonks-run1:125-layers-size-10902729561-bytes,85582,{},unknown,sha256:35d104427e372947c92a63fef0b2d8017a17b02a1e96bc4f5ef6227d2202ff79,unknown,2
9,ghcr.io/converged-computing/container-chonks-run1,ghcr.io/converged-computing/container-chonks-run1:125-layers-size-10902729561-bytes,85583,{},unknown,sha256:dfd40f9126085918374724c0979afc609b4eb6e08e02cf1b8c6534f7035b914e,unknown,2
10,ghcr.io/converged-computing/container-chonks-run1,ghcr.io/converged-computing/container-chonks-run1:125-layers-size-10902729561-bytes,85583,{},unknown,sha256:eca01183fda864daeef603ff17f2afc903134ea266329294f71d5074547c6c00,unknown,2
11,ghcr.io/converged-computing/container-chonks-run1,ghcr.io/converged-computing/container-chonks-run1:125-layers-size-10902729561-bytes,85582,{},unknown,sha256:4ea8732bdf7bbdcf209eb6f52fd5033ad75f55ebe325a735ac62651906292f86,unknown,2
12,ghcr.io/converged-computing/container-chonks-run1,ghcr.io/converged-computing/container-chonks-run1:125-layers-size-10902729561-bytes,85581,{},unknown,sha256:6a2fa4d49241f770affaa5be551d1dbd9140c180d1019d2be70c00870fd196ae,unknown,2
13,ghcr.io/converged-computing/container-chonks-run1,ghcr.io/converged-computing/container-chonks-run1:125-layers-size-10902729561-bytes,85581,{},unknown,sha256:17d236c4fb1e8d1b2cf4220b80a3511cf245ab7448e3c9d9466197bf3817b1b4,unknown,2
14,ghcr.io/converged-computing/container-chonks-run1,ghcr.io/converged-computing/container-chonks-run1:125-layers-size-10902729561-bytes,85582,{},unknown,sha256:0449c583a25c867179a7191e1f89199d45bc53582255db0ebc82d855d2a187a2,unknown,2
15,ghcr.io/converged-computing/container-chonks-run1,ghcr.io/converged-computing/container-chonks-run1:125-layers-size-10902729561-bytes,85580,{},unknown,sha256:6d3a1515b2a0ed5e1f4b824bff9ccaf95270bef8235f11bc98558169c70dd513,unknown,2
16,ghcr.io/converged-computing/container-chonks-run1,ghcr.io/converged-computing/container-chonks-run1:125-layers-size-10902729561-bytes,85581,{},unknown,sha256:6c914845a83b4a3022b3f07fe04dbb7e29a30c8652f0119294031ff63cfe3813,unknown,2
17,ghcr.io/converged-computing/container-chonks-run1,ghcr.io/converged-computing/container-chonks-run1:125-layers-size-10902729561-bytes,85582,{},unknown,sha256:609a547dbcb56dd6eadb00de34be572ea732d6deab4fd45bd4cf46b9f44d3f92,unknown,2
18,ghcr.io/converged-computing/container-chonks-run1,ghcr.io/converged-computing/container-chonks-run1:125-layers-size-10902729561-bytes,85582,{},unknown,sha256:1608b8aa337c79a6c2b478745b9ff5c90793a2ccc70707b1c492869ade04a966,unknown,2
19,ghcr.io/converged-computing/container-chonks-run1,ghcr.io/converged-computing/container-chonks-run1:125-layers-size-10902729561-bytes,85582,{},unknown,sha256:6bef2961c5b377ca6d6c3cb464996b05e4cd5e0a14b9e8047f0b23871fcd2e10,unknown,2
20,ghcr.io/converged-computing/container-chonks-run1,ghcr.io/converged-computing/container-chonks-run1:125-layers-size-10902729561-bytes,85583,{},unknown,sha256:cf4cb865e9a729b6927c6f5e4b21f3d1e555b15776660313c41da9a0ddd9ceb8,unknown,2
21,ghcr.io/converged-computing/container-chonks-run1,ghcr.io/converged-computing/container-chonks-run1:125-layers-size-10902729561-bytes,85581,{},unknown,sha256:e114a67eaf4483b0b0efcad29ba5044549523beec7e77478f1ecada0c38d330a,unknown,2
22,ghcr.io/converged-computing/container-chonks-run1,ghcr.io/converged-computing/container-chonks-run1:125-layers-size-10902729561-bytes,85582,{},unknown,sha256:27a99dde2a4a9cb6164fddeda4e9eb6120b0faeaf40bbcecc9bae3d7aa5c064d,unknown,2
23,ghcr.io/converged-computing/container-chonks-run1,ghcr.io/converged-computing/container-chonks-run1:125-layers-size-10902729561-bytes,85582,{},unknown,sha256:10331d09fc8fd8526215033620906f5febd50c3495238b9e9ca0dc36544df432,unknown,2
24,ghcr.io/converged-computing/container-chonks-run1,ghcr.io/converged-computing/container-chonks-run1:125-layers-size-10902729561-bytes,85582,{},unknown,sha256:2861e43b9e5efc9273dfb7d0927bfa92990c1674a8d49d9526854bdc9b55af98,unknown,2
25,ghcr.io/converged-computing/container-chonks-run1,ghcr.io/converged-computing/container-chonks-run1:125-layers-size-10902729561-bytes,85582,{},unknown,sha256:9b600549faa86c424e5d698e07acd9588e6e7372b9d695776295fec7da5fd61f,unknown,2
26,ghcr.io/converged-computing/container-chonks-run1,ghcr.io/converged-computing/container-chonks-run1:125-layers-size-10902729561-bytes,85582,{},unknown,sha256:e4a19290ee0a268aa8894713eac8b40e7e7d482b9b8fa8f204c8dcdfd17604bd,unknown,2
27,ghcr.io/converged-computing/container-chonks-run1,ghcr.io/converged-computing/container-chonks-run1:125-layers-size-10902729561-bytes,85582,{},unknown,sha256:8fab3baf53f6be8765c2fbeebbed83dc26538b34276b5f2e48f1eec3118a9add,unknown,2
28,ghcr.io/converged-computing/container-chonks-run1,ghcr.io/converged-computing/container-chonks-run1:125-layers-size-10902729561-bytes,85581,{},unknown,sha256:d99423287b07b3f1479947e9a232139ae74f9a0a898854e58e1f3ede2b687d59,unknown,2
29,ghcr.io/converged-computing/container-chonks-run1,ghcr.io/converged-computing/container-chonks-run1:125-layers-size-10902729561-bytes,85582,{},unknown,sha256:9d812acda76fa6428b4697a18835b57bd2cbe3ea952470238d1c75266f21b34d,unknown,2
30,ghcr.io/converged-computing/container-chonks-run1,ghcr.io/converged-computing/container-chonks-run1:125-layers-size-10902729561-bytes,85582,{},unknown,sha256:a3d15ac9db4d55fb0dce2cd1d56b8336cfe906f0868d4458de42d1bbf44ca481,unknown,2
31,ghcr.io/converged-computing/container-chonks-run1,ghcr.io/converged-computing/container-chonks-run1:125-layers-size-10902729561-bytes,85580,{},unknown,sha256:e396f2f3fbe48f7ef37b48a25554e351eedf7fef09ec86a7029bd88de343188a,unknown,2
